Area Code,Year,Item Code,Production,Import Quantity,Stock Variation,Domestic supply quantity,Processing,Residuals,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Export Quantity,Losses,Feed,Seed,Other uses (non-food),Tourist consumption
2,2018,2558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2559,26.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2018,2560,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2,2018,2561,32.0,0.0,0.0,19.0,3.0,0.0,13.0,0.36,6.0,0.19,0.53,13.0,2.0,0.0,1.0,0.0,0.0
2,2018,2562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2563,8.0,0.0,0.0,8.0,5.0,0.0,3.0,0.07,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2570,1.0,64.0,5.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2,2018,2571,0.0,11.0,0.0,11.0,0.0,0.0,11.0,0.3,7.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2573,3.0,47.0,20.0,29.0,0.0,0.0,29.0,0.79,19.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2574,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.05,1.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2575,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.1,2.0,0.0,0.26,0.0,0.0,0.0,0.0,1.0,0.0
2,2018,2576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2577,0.0,192.0,5.0,187.0,0.0,0.0,81.0,2.19,53.0,0.0,6.0,0.0,0.0,0.0,0.0,106.0,0.0
2,2018,2578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2579,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.03,1.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2580,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2582,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.07,2.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2586,21.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
2,2018,2601,3.0,197.0,0.0,1.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0
2,2018,2602,151.0,126.0,0.0,215.0,0.0,0.0,202.0,5.44,5.0,0.16,0.03,61.0,13.0,0.0,0.0,0.0,0.0
2,2018,2605,1364.0,94.0,-2.0,1325.0,0.0,0.0,1169.0,31.45,18.0,0.77,0.13,134.0,156.0,0.0,0.0,0.0,0.0
2,2018,2611,5.0,107.0,0.0,111.0,0.0,0.0,111.0,2.98,3.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2612,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2613,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2614,3.0,66.0,0.0,69.0,0.0,0.0,69.0,1.84,1.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2615,0.0,143.0,0.0,143.0,0.0,0.0,143.0,3.85,6.0,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2616,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2617,217.0,8.0,132.0,74.0,0.0,0.0,63.0,1.69,2.0,0.01,0.01,19.0,11.0,0.0,0.0,0.0,0.0
2,2018,2618,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2619,0.0,19.0,0.0,19.0,0.0,0.0,19.0,0.51,2.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2620,984.0,1.0,0.0,479.0,0.0,-118.0,548.0,14.74,27.0,0.24,0.12,506.0,49.0,0.0,0.0,0.0,0.0
2,2018,2625,257.0,15.0,-1.0,24.0,0.0,-165.0,171.0,4.59,5.0,0.08,0.03,249.0,19.0,0.0,0.0,0.0,0.0
2,2018,2630,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2018,2633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2635,0.0,81.0,0.0,81.0,0.0,0.0,81.0,2.17,2.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018,2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
