"","Concentrations of fine particulate matter (PM2.5)"
"Niue","11.5"
"Norway","7.8 [7.2-8.2]"
"Oman","36.2 [23.6-56.9]"
"Pakistan","56.2 [47.8-76.7]"
"Palau","12.4 [7.3-20.4]"
"Panama","12.0 [9.2-16.5]"
"Papua New Guinea","11.5 [4.4-34.2]"
"Paraguay","11.7 [8.3-16.8]"
"Peru","29.0 [25.5-35.1]"
"Philippines","18.7 [15.3-21.9]"
"Poland","21.5 [21.4-22.4]"
"Portugal","8.1 [7.9-8.4]"
"Qatar","91.7 [69.6-120.9]"
"Republic of Korea","24.7 [23.4-26.5]"
"Republic of Moldova","16.5 [11.3-23.1]"
"North Macedonia","33.0 [30.8-36.7]"
"Romania","15.4 [14.7-16.4]"
"Russian Federation","14.7 [11.6-25.7]"
"Rwanda","40.7 [16.1-97.1]"
"Saint Kitts and Nevis","12.3 [8.2-19.6]"
"Saint Lucia","21.2 [12.5-40.2]"
"Saint Vincent and the Grenadines","21.4 [11.5-43.8]"
"Samoa","10.9 [4.2-27.0]"
"San Marino","13.4 [8.9-21.8]"
"Sao Tome and Principe","25.2 [13.8-50.9]"
"Saudi Arabia","86.7 [64.2-133.6]"
"Senegal","39.7 [27.1-63.3]"
"Serbia","24.7 [22.9-28.1]"
"Seychelles","18.6 [10.5-37.4]"
"Sierra Leone","20.6 [11.3-40.5]"
"Singapore","18.3 [13.7-24.6]"
"Slovakia","18.0 [17.4-19.3]"
"Slovenia","16.4 [15.7-17.5]"
"Solomon Islands","11.5 [4.2-37.9]"
"Somalia","28.0 [16.1-52.0]"
"South Africa","24.3 [18.8-34.2]"
"South Sudan","40.9 [21.5-86.6]"
"Spain","9.8 [9.8-10.2]"
"Sri Lanka","15.1 [9.6-19.8]"
"Sudan","46.8 [22.8-120.2]"
"Suriname","25.8 [13.2-51.0]"
"Sweden","6.1 [6.1-6.9]"
"Switzerland","10.4 [10.2-10.8]"
"Syrian Arab Republic","37.4 [30.9-53.3]"
"Tajikistan","42.8 [21.2-91.8]"
"Thailand","26.6 [24.0-28.8]"
"Timor-Leste","18.2 [8.3-41.6]"
"Togo","31.2 [18.3-60.5]"
"Tonga","10.2 [4.8-23.1]"
"Trinidad and Tobago","22.4 [10.5-49.0]"
"Tunisia","35.7 [26.2-52.5]"
"Turkey","41.2 [36.6-50.5]"
"Turkmenistan","24.2 [12.6-46.3]"
"Tuvalu","11.4"
"Uganda","48.7 [28.2-78.5]"
"Ukraine","19.4 [12.2-37.3]"
"United Arab Emirates","37.2 [22.2-62.2]"
"United Kingdom of Great Britain and Northern Ireland","10.6 [10.3-11.0]"
"United Republic of Tanzania","25.1 [18.3-46.6]"
"United States of America","7.6 [7.4-7.7]"
"Uruguay","8.7 [7.0-11.4]"
"Uzbekistan","28.9 [14.7-59.0]"
"Vanuatu","11.0 [4.4-29.1]"
"Venezuela (Bolivarian Republic of)","16.8 [11.8-27.2]"
"Viet Nam","30.1 [25.1-37.9]"
"Yemen","44.3 [19.2-111.3]"
"Zambia","23.8 [11.2-45.1]"
"Zimbabwe","19.1 [10.1-35.3]"
